2.945210 2.934638 2.925493 5.118490 2.945210 2.934638 5.100413 2.915150 5.066602 4.136448 5.055167 5.890419 5.066602 4.136448 2.915150 2.945210 4.136448 2.925493 5.890419 2.945210 4.136448 5.100413 
2.945210 2.925493 2.934638 2.945210 5.118490 5.100413 2.934638 2.945210 2.915150 2.925493 4.136448 2.945210 5.890419 5.100413 4.136448 5.066602 2.915150 5.055167 4.136448 5.066602 5.890419 4.136448 
2.934638 2.925493 2.945210 2.934638 5.100413 5.118490 2.945210 4.136448 5.055167 2.915150 5.066602 4.136448 5.890419 5.066602 4.136448 2.925493 2.915150 2.945210 4.136448 5.100413 5.890419 2.945210 
2.925493 2.934638 2.945210 5.100413 2.934638 2.945210 5.118490 2.925493 4.136448 2.945210 2.915150 5.100413 4.136448 2.945210 5.890419 5.055167 4.136448 5.066602 2.915150 4.136448 5.066602 5.890419 
5.118490 2.945210 2.934638 5.100413 2.945210 2.934638 2.925493 5.890419 5.066602 4.136448 2.915150 5.066602 4.136448 5.055167 5.890419 2.945210 4.136448 5.100413 2.915150 2.945210 4.136448 2.925493 
2.945210 5.118490 5.100413 2.934638 2.945210 2.925493 2.934638 2.945210 5.890419 5.100413 4.136448 2.945210 2.915150 2.925493 4.136448 5.066602 5.890419 4.136448 5.066602 2.915150 5.055167 4.136448 
2.934638 5.100413 5.118490 2.945210 2.934638 2.925493 2.945210 4.136448 5.890419 5.066602 4.136448 5.055167 2.915150 5.066602 4.136448 5.100413 5.890419 2.945210 4.136448 2.925493 2.915150 2.945210 
5.100413 2.934638 2.945210 5.118490 2.925493 2.934638 2.945210 5.100413 4.136448 2.945210 5.890419 2.925493 4.136448 2.945210 2.915150 4.136448 5.066602 5.890419 5.055167 4.136448 5.066602 2.915150 
2.915150 2.945210 4.136448 2.925493 5.890419 2.945210 4.136448 5.100413 2.945210 2.934638 2.925493 5.118490 2.945210 2.934638 5.100413 2.915150 5.066602 4.136448 5.055167 5.890419 5.066602 4.136448 
5.066602 2.915150 5.055167 4.136448 5.066602 5.890419 4.136448 2.945210 2.925493 2.934638 2.945210 5.118490 5.100413 2.934638 2.945210 2.915150 2.925493 4.136448 2.945210 5.890419 5.100413 4.136448 
4.136448 2.925493 2.915150 2.945210 4.136448 5.100413 5.890419 2.945210 2.934638 2.925493 2.945210 2.934638 5.100413 5.118490 2.945210 4.136448 5.055167 2.915150 5.066602 4.136448 5.890419 5.066602 
5.055167 4.136448 5.066602 2.915150 4.136448 5.066602 5.890419 2.925493 2.934638 2.945210 5.100413 2.934638 2.945210 5.118490 2.925493 4.136448 2.945210 2.915150 5.100413 4.136448 2.945210 5.890419 
5.890419 2.945210 4.136448 5.100413 2.915150 2.945210 4.136448 2.925493 5.118490 2.945210 2.934638 5.100413 2.945210 2.934638 2.925493 5.890419 5.066602 4.136448 2.915150 5.066602 4.136448 5.055167 
5.066602 5.890419 4.136448 5.066602 2.915150 5.055167 4.136448 2.945210 5.118490 5.100413 2.934638 2.945210 2.925493 2.934638 2.945210 5.890419 5.100413 4.136448 2.945210 2.915150 2.925493 4.136448 
4.136448 5.100413 5.890419 2.945210 4.136448 2.925493 2.915150 2.945210 2.934638 5.100413 5.118490 2.945210 2.934638 2.925493 2.945210 4.136448 5.890419 5.066602 4.136448 5.055167 2.915150 5.066602 
4.136448 5.066602 5.890419 5.055167 4.136448 5.066602 2.915150 5.100413 2.934638 2.945210 5.118490 2.925493 2.934638 2.945210 5.100413 4.136448 2.945210 5.890419 2.925493 4.136448 2.945210 2.915150 
2.915150 5.066602 4.136448 5.055167 5.890419 5.066602 4.136448 2.915150 2.945210 4.136448 2.925493 5.890419 2.945210 4.136448 5.100413 2.945210 2.934638 2.925493 5.118490 2.945210 2.934638 5.100413 
2.945210 2.915150 2.925493 4.136448 2.945210 5.890419 5.100413 4.136448 5.066602 2.915150 5.055167 4.136448 5.066602 5.890419 4.136448 2.945210 2.925493 2.934638 2.945210 5.118490 5.100413 2.934638 
4.136448 5.055167 2.915150 5.066602 4.136448 5.890419 5.066602 4.136448 2.925493 2.915150 2.945210 4.136448 5.100413 5.890419 2.945210 2.934638 2.925493 2.945210 2.934638 5.100413 5.118490 2.945210 
2.925493 4.136448 2.945210 2.915150 5.100413 4.136448 2.945210 5.890419 5.055167 4.136448 5.066602 2.915150 4.136448 5.066602 5.890419 2.925493 2.934638 2.945210 5.100413 2.934638 2.945210 5.118490 
5.890419 5.066602 4.136448 2.915150 5.066602 4.136448 5.055167 5.890419 2.945210 4.136448 5.100413 2.915150 2.945210 4.136448 2.925493 5.118490 2.945210 2.934638 5.100413 2.945210 2.934638 2.925493 
2.945210 5.890419 5.100413 4.136448 2.945210 2.915150 2.925493 4.136448 5.066602 5.890419 4.136448 5.066602 2.915150 5.055167 4.136448 2.945210 5.118490 5.100413 2.934638 2.945210 2.925493 2.934638 
4.136448 5.890419 5.066602 4.136448 5.055167 2.915150 5.066602 4.136448 5.100413 5.890419 2.945210 4.136448 2.925493 2.915150 2.945210 2.934638 5.100413 5.118490 2.945210 2.934638 2.925493 2.945210 
5.100413 4.136448 2.945210 5.890419 2.925493 4.136448 2.945210 2.915150 4.136448 5.066602 5.890419 5.055167 4.136448 5.066602 2.915150 5.100413 2.934638 2.945210 5.118490 2.925493 2.934638 2.945210 
